id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-971764,2019-03-12,000001,Vente,220000,11,,RUE ALFRED LAURANT,0070,92100,92012,Boulogne-Billancourt,92,,,920120000L0108,,,19,,7,23.38,,,,,,,2,2,Appartement,24,1,,,,,,2.235656,48.844095
2019-971766,2019-02-22,000001,Vente,105000,12,,QUAI STALINGRAD,8580,92100,92012,Boulogne-Billancourt,92,,,92012000BJ0073,,,31,13.67,,,,,,,,,1,2,Appartement,12,1,,,,,,2.245778,48.824596
2019-971767,2019-02-25,000001,Vente,555000,172,,RUE DE PARIS,7130,92100,92012,Boulogne-Billancourt,92,,,920120000E0111,,,623,67.13,700,,,,,,,,2,2,Appartement,60,3,,,,,,2.231923,48.841944
2019-971769,2019-02-21,000001,Vente,53900,62,B,AV J B CLEMENT,4720,92100,92012,Boulogne-Billancourt,92,,,920120000G0083,,,22,7.7,,,,,,,,,1,2,Appartement,104,5,,,,,,2.234586,48.845016
2019-971769,2019-02-21,000001,Vente,53900,62,B,AV J B CLEMENT,4720,92100,92012,Boulogne-Billancourt,92,,,920120000G0083,,,22,7.7,,,,,,,,,1,3,Dépendance,,0,,,,,,2.234586,48.845016
2019-971770,2019-03-12,000001,Vente,888000,130,,RTE DE LA REINE,8111,92100,92012,Boulogne-Billancourt,92,,,920120000E0131,,,9058,,,,,,,,,,1,2,Appartement,80,3,,,,,,2.233281,48.840928
2019-971770,2019-03-12,000001,Vente,888000,130,,RTE DE LA REINE,8111,92100,92012,Boulogne-Billancourt,92,,,920120000E0131,,,7037,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.233281,48.840928
2019-971770,2019-03-12,000001,Vente,888000,130,,RTE DE LA REINE,8111,92100,92012,Boulogne-Billancourt,92,,,920120000E0131,,,9187,,,,,,,,,,1,2,Appartement,90,5,,,,,,2.233281,48.840928
2019-971773,2019-03-18,000001,Vente,115000,14,,RUE GALLIENI,4110,92100,92012,Boulogne-Billancourt,92,,,920120000X0144,,,1078,16.57,,,,,,,,,1,2,Appartement,16,1,,,,,,2.250125,48.838143
2019-971776,2019-02-27,000001,Vente,352000,3,,RUE COUCHOT,1490,92100,92012,Boulogne-Billancourt,92,,,92012000AL0011,,,1506,42.99,1743,,,,,,,,2,2,Appartement,43,2,,,,,,2.233494,48.831833
2019-971776,2019-02-27,000001,Vente,352000,162,,RUE DE SILLY,8561,92100,92012,Boulogne-Billancourt,92,,,92012000AL0011,,,1855,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.233494,48.831833
2019-971778,2019-03-11,000001,Vente,375000,80,,RUE MARCEL BONTEMPS,0759,92100,92012,Boulogne-Billancourt,92,,,92012000BD0073,,,105,,65,48,,,,,,,2,2,Appartement,47,2,,,,,,2.236139,48.828277
2019-971778,2019-03-11,000001,Vente,375000,84,,RUE MARCEL BONTEMPS,0759,92100,92012,Boulogne-Billancourt,92,,,92012000BD0073,,,189,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.236139,48.828277
2019-971780,2019-02-28,000001,Vente,428440,32,,RTE DE LA REINE,8111,92100,92012,Boulogne-Billancourt,92,,,920120000X0126,,,11,,3,56.72,,,,,,,2,2,Appartement,52,3,,,,,,2.248023,48.839216
2019-971781,2019-02-28,000001,Vente,990000,56,,RUE DU CHEMIN VERT,1435,92100,92012,Boulogne-Billancourt,92,,,92012000AS0014,,,553,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.249327,48.837676
2019-971781,2019-02-28,000001,Vente,990000,56,,RUE DU CHEMIN VERT,1435,92100,92012,Boulogne-Billancourt,92,,,92012000AS0014,,,244,106.36,295,,,,,,,,2,2,Appartement,107,4,,,,,,2.249327,48.837676
2019-971782,2019-03-14,000001,Vente,419000,11,,RUE DE BELLEVUE,0651,92100,92012,Boulogne-Billancourt,92,,,92012000AC0122,,,2006,46.51,,,,,,,,,1,2,Appartement,46,2,,,,,,2.230417,48.84028
2019-971783,2019-03-05,000001,Vente,442350,5,,VLA ALEXANDRINE,0061,92100,92012,Boulogne-Billancourt,92,,,920120000A0028,,,530,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.236776,48.85015
2019-971783,2019-03-05,000001,Vente,442350,4,,BD ANATOLE FRANCE,0110,92100,92012,Boulogne-Billancourt,92,,,920120000A0028,,,210,47.24,373,,,,,,,,2,2,Appartement,47,2,,,,,,2.236776,48.85015
2019-971784,2019-03-01,000001,Vente,315000,3,,AV DU MARECHAL JUIN,6165,92100,92012,Boulogne-Billancourt,92,,,92012000AI0021,,,1193,61.86,1369,,,,,,,,2,2,Appartement,58,3,,,,,,2.228438,48.832232
2019-971787,2019-03-15,000001,Vente,1327900,10,,RUE HEYRAULT,4450,92100,92012,Boulogne-Billancourt,92,,,92012000AV0133,,,6028,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.239969,48.831303
2019-971787,2019-03-15,000001,Vente,1327900,10,,RUE HEYRAULT,4450,92100,92012,Boulogne-Billancourt,92,,,92012000AV0133,,,6027,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.239969,48.831303
2019-971787,2019-03-15,000001,Vente,1327900,164,,RUE VIEUX PONT DE SEVRES,9670,92100,92012,Boulogne-Billancourt,92,,,92012000AV0133,,,3016,,3025,,,,,,,,2,2,Appartement,121,5,,,,,,2.239969,48.831303
2019-971795,2019-03-08,000001,Vente,190500,44,,AV EDOUARD VAILLANT,3120,92100,92012,Boulogne-Billancourt,92,,,92012000AT0007,,,117,21.97,,,,,,,,,1,2,Appartement,25,1,,,,,,2.251163,48.836291
2019-971796,2019-03-15,000001,Vente,347000,72,,RPT DU PONT DE SEVRES,7233,92100,92012,Boulogne-Billancourt,92,,,92012000AZ0026,,,1172,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.23058,48.8278
2019-971796,2019-03-15,000001,Vente,347000,72,,RPT DU PONT DE SEVRES,7233,92100,92012,Boulogne-Billancourt,92,,,92012000AZ0026,,,1379,,1541,49.94,,,,,,,2,2,Appartement,49,2,,,,,,2.23058,48.8278
2019-971798,2019-02-26,000001,Vente,425000,133,,RUE DE SILLY,8561,92100,92012,Boulogne-Billancourt,92,,,92012000AM0258,,,199,60.31,519,,,,,,,,2,2,Appartement,60,3,,,,,,2.234582,48.833802
2019-971798,2019-02-26,000001,Vente,425000,133,,RUE DE SILLY,8561,92100,92012,Boulogne-Billancourt,92,,,92012000AM0258,,,653,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.234582,48.833802
2019-971799,2019-03-22,000001,Vente,455000,8,,QUAI STALINGRAD,8580,92100,92012,Boulogne-Billancourt,92,,,92012000BJ0070,,,169,62.16,30,,,,,,,,2,2,Appartement,63,3,,,,,,2.246213,48.824802
2019-971799,2019-03-22,000001,Vente,455000,8,,QUAI STALINGRAD,8580,92100,92012,Boulogne-Billancourt,92,,,92012000BJ0070,,,104,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.246213,48.824802
